,발행기관,표준코드,채권종류,종목명,상장일,발행일,상환일,표면이자율,발행금액 (백만),상장잔액 (백만),채권유형
,신한은행,KR6000011B58,녹색채권,신한은행25-05-이10갑후(녹),"2021/05/07","2021/05/06","2031/05/06","2.58000","400,000","400,000",회사채
,신한은행,KR6000012BB1,녹색채권,신한은행25-11-이10갑후(녹),"2021/11/10","2021/11/09","2031/11/09","2.84000","260,000","260,000",회사채
,신한은행,KR6000012C80,녹색채권,신한은행26-08-이-1-A(녹),"2022/08/24","2022/08/23","2023/08/23","3.43000","100,000","100,000",회사채
,우리은행,KR6000031924,지속가능채권,우리은행23-02-이표(지)05갑18,"2019/02/19","2019/02/18","2024/02/18","2.04000","200,000","200,000",회사채
,우리은행,KR6000031A89,지속가능채권,우리은행24-08-이표03갑06(지),"2020/08/07","2020/08/06","2023/08/06","1.01000","300,000","300,000",회사채
,우리은행,KR6000031C79,지속가능채권,우리은행조건부자본증권(상)2607이(후)10갑12(지),"2022/07/13","2022/07/12","2032/07/12","4.46000","400,000","400,000",회사채
,우리은행,KR6000033B52,지속가능채권,우리은행조건부자본증권(상)2505이(후)10갑13(지),"2021/05/14","2021/05/13","2031/05/13","2.64000","300,000","300,000",회사채
,기아,KR6000271B38,녹색채권,기아284-1(녹),"2021/03/03","2021/03/03","2024/03/03","1.30300","100,000","100,000",회사채
,기아,KR6000272B37,녹색채권,기아284-2(녹),"2021/03/03","2021/03/03","2026/03/03","1.71400","150,000","150,000",회사채
,기아,KR6000273B36,녹색채권,기아284-3(녹),"2021/03/03","2021/03/03","2028/03/03","1.95500","50,000","50,000",회사채
,SK하이닉스,KR6000662B43,사회적채권,에스케이하이닉스223-2(사),"2021/04/13","2021/04/13","2026/04/13","1.89000","360,000","360,000",회사채
,SK하이닉스,KR6000663B42,사회적채권,에스케이하이닉스223-3(사),"2021/04/13","2021/04/13","2028/04/13","2.10600","80,000","80,000",회사채
,롯데건설,KR6000822B99,지속가능채권,롯데건설136-2(지),"2021/09/14","2021/09/14","2024/09/13","2.21400","40,000","40,000",회사채
,한화,KR6000881B55,녹색채권,한화231-1(녹),"2021/05/07","2021/05/07","2024/05/07","1.68200","85,000","85,000",회사채
,한화,KR6000881C21,녹색채권,한화233-1(녹),"2022/02/08","2022/02/08","2025/02/07","3.10000","100,000","100,000",회사채
,한화,KR6000882B54,녹색채권,한화231-2(녹),"2021/05/07","2021/05/07","2026/05/07","2.24600","65,000","65,000",회사채
,한화,KR6000882C20,녹색채권,한화233-2(녹),"2022/02/08","2022/02/08","2027/02/05","3.41300","50,000","50,000",회사채
,DL건설,KR6001882B94,지속가능채권,DL건설1-2(지),"2021/09/09","2021/09/09","2024/09/09","2.80700","39,000","39,000",회사채
