CODE,CO_NM,rcept_no,biz_no
000660,SK하이닉스,20220322000590,1268103725
035420,NAVER,20220304000687,2208162517
005380,현대차,20220316001052,1018109147
006400,삼성SDI,20220308000915,1248131282
068270,셀트리온,20220512000853,1338123603
028260,삼성물산,20220310000790,2028145975
005490,POSCO,20220310001226,5068100017
105560,KB금융,20220325001281,2018608254
055550,신한지주,20220316000748,1048164625
012330,현대모비스,20220315000823,1018116406
096770,SK이노베이션,20220323000978,1018632319
034730,SK,20220816001773,2208116503
015760,한국전력,20220516001505,1208200052
066570,LG전자,20220316000886,1078614075
323410,카카오뱅크,20220321000832,3758800197
010950,S-Oil,20220314000379,1168136743
086790,하나금융지주,20220317001011,1078671509
017670,SK텔레콤,20220812000185,1048137225
051900,LG생활건강,20220516002048,1078198143
009150,삼성전기,20220308000667,1248100979
000810,삼성화재,20220310001159,2028145617
010130,고려아연,20220315001010,2118111260
316140,우리금융지주,20220317001124,3988701116
003670,포스코케미칼,20220311001089,5068101452
011070,LG이노텍,20220222003015,1058174316
036570,엔씨소프트,20220322000959,2208143000
090430,아모레퍼시픽,20220316000772,1068643373
009830,한화솔루션,20220728000033,2028116577
024110,기업은행,20220316001255,2028100978
086280,현대글로비스,20220315001126,1068197118
009540,한국조선해양,20220314000893,6208100012
011170,롯데케미칼,20220316001034,1188115012
251270,넷마블,20220321001426,1058764746
032640,LG유플러스,20220303000725,2208139938
035250,강원랜드,20220323000547,2258110770
018880,한온시스템,20220816000770,3068124501
010140,삼성중공업,20220310001057,1208152780
047810,한국항공우주,20220322000955,1108142397
034220,LG디스플레이,20220315000742,1208155297
011790,SKC,20220816001935,1358101250
021240,코웨이,20220816001433,3078106054
000720,현대건설,20220325001068,1018116293
005830,DB손해보험,20220317000925,2018145593
004020,현대제철,20220315000651,1218110385
011780,금호석유,20220328000826,1028131147
271560,오리온,20220323000300,7098100727
000060,메리츠화재,20220316001144,1168103752
004990,롯데지주,20220317001201,1078134848
078930,GS,20220318001135,2208687395
128940,한미약품,20220316001397,1248700613
036460,한국가스공사,20220325000211,1208200557
010620,현대미포조선,20220315000376,6208100900
029780,삼성카드,20220308000831,2028145602
003410,쌍용C&E,20220816001988,2028133033
010060,OCI,20220311000911,5068100069
282330,BGF리테일,20220321001041,8938800792
028670,팬오션,20220321000845,1048119101
307950,현대오토에버,20220317001288,1048153190
002790,아모레G,20220316000873,1068100011
005940,NH투자증권,20220315000644,1168103693
016360,삼성증권,20220310000784,2028148588
023530,롯데쇼핑,20220315001185,1048126067
008770,호텔신라,20220310000632,2038143363
001450,현대해상,20220816002204,1028132035
008930,한미사이언스,20220316001401,1248132296
030000,제일기획,20220324000651,2028145960
052690,한전기술,20220321000881,1208101490
007070,GS리테일,20220317001215,1168118745
272210,한화시스템,20220516000217,5138117175
026960,동서,20220317000623,1058138440
012750,에스원,20220308000980,2088113302
112610,씨에스윈드,20220321001550,2128176626
047040,대우건설,20220321000645,1048158180
047050,포스코인터내셔널,20220311001166,1048158195
001440,대한전선,20220322001052,1198110062
064350,현대로템,20220315000952,6098137486
204320,만도,20220316001163,1258625094
138930,BNK금융지주,20220317001180,6058605385
039490,키움증권,20220324000600,1078176756
004170,신세계,20220316000691,2018132195
006260,LS,20220321001306,1168119007
006280,녹십자,20220321001318,3038117108
336260,두산퓨얼셀,20220321001227,7738801177
000880,한화,20220324000140,2028116825
081660,휠라홀딩스,20220812000706,1148144271
111770,영원무역,20220321001405,1048621617
004800,효성,20220310001203,1058159519
093370,후성,20220321001474,1348634812
004370,농심,20220317000469,1188103914
005300,롯데칠성,20220317000852,2148107770
003090,대웅,20220321000991,1298100178
336370,솔루스첨단소재,20220812000796,6688101406
014820,동원시스템즈,20220510000724,1238115163
007310,오뚜기,20220317000455,1388103238
009240,한샘,20220816002277,1338122865
000210,DL,20220816002153,1168135007
005070,코스모신소재,20220408002366,1378101917
005850,에스엘,20220321001030,5048100078
175330,JB금융지주,20220322000818,4188144697
120110,코오롱인더,20220321001478,1388156604
139130,DGB금융지주,20220317001101,5028610560
001120,LX인터내셔널,20220316000964,1168118686
042700,한미반도체,20220415000576,1378102051
001230,동국제강,20220324000882,2028105158
000240,한국앤컴퍼니,20220407001647,2208102784
010780,아이에스동서,20220317001305,2118631577
016710,대성홀딩스,20220323000894,5038106405
020560,아시아나항공,20220322001012,1048117480
019170,신풍제약,20220317000706,1348103819
000150,두산,20220322000008,1078100237
018670,SK가스,20220316001245,1168112528
017800,현대엘리베이,20220321001512,1268104267
031430,신세계인터내셔날,20220315001107,2018153657
042670,현대두산인프라코어,20220311001112,1218140254
181710,NHN,20220321001453,1448115549
001740,SK네트웍스,20220404002305,1248100718
268280,미원에스씨,20220816000420,7788700797
003690,코리안리,20220816002265,1028116957
003240,태광산업,20220317001199,2038143626
073240,금호타이어,20220330001690,1018195610
000670,영풍,20220315000564,2118111275
079160,CJ CGV,20220321001182,1048145690
145720,덴티움,20220322000724,1238157732
178920,PI첨단소재,20220316000360,3018197858
300720,한일시멘트,20220318000879,4638701012
005250,녹십자홀딩스,20220321001417,1358105009
082640,동양생명,20220323001093,2028138251
214320,이노션,20220323001310,2208709310
002840,미원상사,20220728000426,1348102843
032350,롯데관광개발,20220317000948,1018110173
009420,한올바이오파마,20220816001546,3068105479
014830,유니드,20220308000942,1048124846
013890,지누스,20220316000699,1248128792
005880,대한해운,20220322000863,1018124624
249420,일동제약,20220317000965,8038800431
069260,휴켐스,20220317001002,2018176228
114090,GKL,20220321000040,1048196184
011000,진원생명과학,20220322000627,1208114898
089590,제주항공,20220331002829,6168150527
010050,우리종금,20220316000618,4088100426
023590,다우기술,20220324000698,2208102810
003540,대신증권,20220516001812,1168109076
005440,현대그린푸드,20220321001221,2118108241
020000,한섬,20220816002184,1208126337
039130,하나투어,20220317001007,1028139440
004490,세방전지,20220315000920,2208100490
004690,삼천리,20220317001251,1168100755
241590,화승엔터프라이즈,20220318000356,6858100299
272450,진에어,20220315000693,1218189086
001680,대상,20220816001426,1098114886
192080,더블유게임즈,20220321000798,2148896326
003530,한화투자증권,20220315001273,1168119031
