순번,인증번호,기술명칭,분류코드,기관명,발급부처,인증확정일,인증만료일
1,GT-19-00773,염가공 공정 에너지 절감형 기능성 편성물 생산기술,T070802,(주)엘에스케이화인텍스,환경부,2019.11.14,2025.11.13
2,GT-19-00767,목적부 조명방식과 내부반사구조를 이용한 LED 조명식 표지판 제작기술,T080203,(주)세한이노테크,중소벤처기업부,2019.10.17,2025.10.16
3,GT-19-00763,클라우드 기반의 자동 압축 동기화에 의한 공간압축 소프트웨어기술,T040603,(주)테트라,과학기술정보통신부,2019.10.17,2025.10.16
4,GT-19-00761,재생 저밀도 및 고밀도 폴리에틸렌을 이용한 종량제봉투 제조 기술,T100503,인테크,중소벤처기업부,2019.10.17,2025.10.16
5,GT-19-00751,실내오염물질 제거 기능을 갖는 열회수형 환기시스템 기술,T100702,(주)경동나비엔,환경부,2019.10.17,2025.10.16
6,GT-19-00757,GPIO 포트를 활용한 컴퓨터 에너지 절감 기술,T040601,(주)리퓨터,중소벤처기업부,2019.10.17,2025.10.16
7,GT-19-00762,폐열회수형 항온항습 히트펌프 시스템 기술,T080205,주식회사 이디세븐,과학기술정보통신부,2019.10.17,2025.10.16
8,GT-19-00750,암반에서 확공을 이용한 앵커의 친환경공정 기술,T100502,(주)세종이엔씨,국토교통부,2019.10.17,2025.10.16
9,GT-19-00758,가시광 응답형 광촉매를 코팅한 석탄회 재활용 점토벽돌 제조기술,T100302,코코세라믹 주식회사,환경부,2019.10.17,2025.10.16
10,GT-19-00753,탁도 정화 기능을 적용한 스테인레스 물탱크 제조기술,T030701,(주)현진기업,농림축산식품부,2019.10.17,2025.10.16
11,GT-22-01503,에탄올 타입 잉크와 자원 절약형 공정 시스템이 적용된 유해성 저감 포장재 제조기술,T100503,희성폴리머(주),농림축산식품부,2022.09.15,2025.09.14
12,GT-22-01476,항균성 및 항곰팡이성이 우수한 자원절약형 항균동 플라스틱 소재 제조기술,T100503,클린씨유,중소벤처기업부,2022.09.15,2025.09.14
13,GT-22-01487,이온화장치가 구비된 재단이송장치를 이용한  재생복사용지 제조기술,T100503,한국장애인정보화협회,중소벤처기업부,2022.09.15,2025.09.14
