CO_NM,CODE,dir_pay
SK하이닉스,000660,592000000.0
NAVER,035420,1200000000.0
현대차,005380,1339000000.0
삼성SDI,006400,842000000.0
셀트리온,068270,917000000.0
삼성물산,028260,908000000.0
POSCO,005490,516000000.0
KB금융,105560,266000000.0
신한지주,055550,126000000.0
현대모비스,012330,4015000000.0
SK이노베이션,096770,436000000.0
SK,034730,3481000000.0
한국전력,015760,108434000.0
LG전자,066570,698000000.0
카카오뱅크,323410,2025000000.0
S-Oil,010950,130879000.0
하나금융지주,086790,310000000.0
SK텔레콤,017670,856000000.0
LG생활건강,051900,843000000.0
삼성전기,009150,717000000.0
삼성화재,000810,1168000000.0
고려아연,010130,387702000.0
우리금융지주,316140,228000000.0
포스코케미칼,003670,206000000.0
LG이노텍,011070,531000000.0
엔씨소프트,036570,1644000000.0
아모레퍼시픽,090430,593000000.0
한화솔루션,009830,400000000.0
기업은행,024110,164000000.0
현대글로비스,086280,355000000.0
한국조선해양,009540,279430000.0
롯데케미칼,011170,829000000.0
넷마블,251270,492000000.0
LG유플러스,032640,636000000.0
강원랜드,035250,75582000.0
한온시스템,018880,47000000.0
삼성중공업,010140,215000000.0
한국항공우주,047810,179000000.0
LG디스플레이,034220,346000000.0
SKC,011790,340000000.0
코웨이,021240,372902000.0
현대건설,000720,513000000.0
DB손해보험,005830,304496000.0
현대제철,004020,401000000.0
금호석유,011780,566000000.0
오리온,271560,981000000.0
메리츠화재,000060,476646000.0
롯데지주,004990,1117000000.0
GS,078930,617000000.0
한미약품,128940,353000000.0
한국가스공사,036460,131616000.0
현대미포조선,010620,155000000.0
삼성카드,029780,540000000.0
쌍용C&E,003410,84000000.0
OCI,010060,333550000.0
BGF리테일,282330,177000000.0
팬오션,028670,271000000.0
현대오토에버,307950,250000000.0
아모레G,002790,384000000.0
NH투자증권,005940,142000000.0
삼성증권,016360,597000000.0
롯데쇼핑,023530,698000000.0
호텔신라,008770,981000000.0
현대해상,001450,666000000.0
한미사이언스,008930,335000000.0
제일기획,030000,836000000.0
한전기술,052690,95353000.0
GS리테일,007070,420000000.0
한화시스템,272210,231000000.0
동서,026960,261760000.0
에스원,012750,709000000.0
씨에스윈드,112610,193000000.0
대우건설,047040,228000000.0
포스코인터내셔널,047050,288000000.0
대한전선,001440,82000000.0
현대로템,064350,312000000.0
만도,204320,639000000.0
BNK금융지주,138930,230000000.0
키움증권,039490,325090232.0
신세계,004170,455000000.0
LS,006260,961000000.0
녹십자,006280,464000000.0
두산퓨얼셀,336260,194000000.0
한화,000880,378000000.0
휠라홀딩스,081660,403000000.0
영원무역,111770,368000000.0
효성,004800,1627000000.0
후성,093370,231813000.0
농심,004370,1872404000.0
롯데칠성,005300,183000000.0
대웅,003090,189000000.0
솔루스첨단소재,336370,144000000.0
동원시스템즈,014820,194139034.0
오뚜기,007310,815000000.0
한샘,009240,784000000.0
DL,000210,443000000.0
코스모신소재,005070,222000000.0
에스엘,005850,425000000.0
JB금융지주,175330,193000000.0
코오롱인더,120110,307107000.0
DGB금융지주,139130,194000000.0
LX인터내셔널,001120,230000000.0
한미반도체,042700,745000000.0
동국제강,001230,694000000.0
한국앤컴퍼니,000240,540000000.0
아이에스동서,010780,199000000.0
대성홀딩스,016710,371000000.0
아시아나항공,020560,463464000.0
신풍제약,019170,80952000.0
두산,000150,539000000.0
SK가스,018670,766000000.0
현대엘리베이,017800,595000000.0
신세계인터내셔날,031430,1520000000.0
현대두산인프라코어,042670,259000000.0
NHN,181710,240779000.0
SK네트웍스,001740,1346000000.0
미원에스씨,268280,199000000.0
코리안리,003690,400323000.0
태광산업,003240,259000000.0
금호타이어,073240,120000000.0
영풍,000670,140160000.0
CJ CGV,079160,231000000.0
덴티움,145720,118000000.0
PI첨단소재,178920,78000000.0
한일시멘트,300720,168273000.0
녹십자홀딩스,005250,479000000.0
동양생명,082640,184000000.0
이노션,214320,687000000.0
미원상사,002840,225148000.0
롯데관광개발,032350,229506000.0
한올바이오파마,009420,168717000.0
유니드,014830,481083000.0
지누스,013890,240000000.0
대한해운,005880,146000000.0
일동제약,249420,168935000.0
휴켐스,069260,679000000.0
GKL,114090,97643000.0
진원생명과학,011000,2096000000.0
제주항공,089590,92000000.0
우리종금,010050,69000000.0
다우기술,023590,113000000.0
대신증권,003540,823000000.0
현대그린푸드,005440,268000000.0
한섬,020000,193698000.0
하나투어,039130,160000000.0
세방전지,004490,308812000.0
삼천리,004690,214000000.0
화승엔터프라이즈,241590,86000000.0
진에어,272450,85000000.0
대상,001680,272000000.0
더블유게임즈,192080,226000000.0
한화투자증권,003530,221000000.0
보령제약,003850,296378000.0
파미셀,005690,203000000.0
F&F홀딩스,007700,89039000.0
한세실업,105630,271961000.0
SK디스커버리,006120,509000000.0
동아쏘시오홀딩스,000640,115000000.0
드림텍,192650,350000000.0
코스맥스,192820,352752000.0
영원무역홀딩스,009970,292000000.0
SNT모티브,064960,182000000.0
삼양홀딩스,000070,514000000.0
현대홈쇼핑,057050,574000000.0
부광약품,003000,215951736.0
세아제강지주,003030,265000000.0
SK디앤디,210980,422000000.0
NICE,034310,146213000.0
엠씨넥스,097520,163032178.0
디티알오토모티브,007340,204184000.0
세아베스틸,001430,193000000.0
미래에셋생명,085620,249000000.0
유안타증권,003470,339000000.0
