CO_NM,CODE,DR
SK하이닉스,000660,7.473503220098577
NAVER,035420,229.65758897388164
현대차,005380,17.75288802566567
삼성SDI,006400,15.879556635065928
셀트리온,068270,10.488399918443655
삼성물산,028260,841.7463124588407
삼성물산,028260,312.78555808
POSCO,005490,24.21266322151209
POSCO,005490,12.86833207666306
KB금융,105560,3.510468975268804
신한지주,055550,3.8406342719540847
현대모비스,012330,16.871116848844217
SK이노베이션,096770,5.932862224732935
SK,034730,741.6027999752215
SK,034730,40.127218
한국전력,015760,24.406659875008568
LG전자,066570,22.404036192348997
카카오뱅크,323410,14.133877954558246
S-Oil,010950,45.651064107137955
하나금융지주,086790,4.577047181939902
SK텔레콤,017670,502.0644410192503
LG생활건강,051900,10.651392333535803
삼성전기,009150,3.69398386594035
삼성화재,000810,2939.8950039840906
고려아연,010130,13.34950850736619
우리금융지주,316140,0.7373526324594408
포스코케미칼,003670,36.955353884850126
포스코케미칼,003670,2.9588700089482214
LG이노텍,011070,35.16455815017864
엔씨소프트,036570,111.04041573521243
아모레퍼시픽,090430,14.286260874617593
한화솔루션,009830,8.566241344978655
한화솔루션,009830,3.375641916965481
기업은행,024110,84.05749276066074
현대글로비스,086280,328.6018001402667
한국조선해양,009540,0.917423093254789
롯데케미칼,011170,34.77866323489729
넷마블,251270,376.8782125305377
넷마블,251270,55.536642849719286
LG유플러스,032640,4.03651481428098
강원랜드,035250,5.135144485966893
한온시스템,018880,66.96797351873361
삼성중공업,010140,8.965058629263321
한국항공우주,047810,9.573330173723226
LG디스플레이,034220,10.679660316844588
SKC,011790,7.024266066618574
코웨이,021240,28.19194652514099
코웨이,021240,43.12358349155896
현대건설,000720,12.898968422850555
DB손해보험,005830,1279.9086453731638
DB손해보험,005830,798.7989395290961
현대제철,004020,25.24888160545498
금호석유,011780,10.86316480767457
오리온,271560,19.744591261987896
메리츠화재,000060,428.59115202321243
롯데지주,004990,171.12091522779806
GS,078930,2.4993864849282263
한미약품,128940,30.16321554255973
한국가스공사,036460,85.2245703201716
현대미포조선,010620,10.103395573432966
삼성카드,029780,32.58452966369061
쌍용C&E,003410,30.061077319168646
쌍용C&E,003410,2.3253421265489216
OCI,010060,8.485400900478052
BGF리테일,282330,107.5132912473604
팬오션,028670,5.853078174981761
현대오토에버,307950,54.754382203138846
아모레G,002790,2.3321427182802283
NH투자증권,005940,29.18435115788529
삼성증권,016360,120.29753262040357
롯데쇼핑,023530,112.18403858508442
호텔신라,008770,8.54401775675
현대해상,001450,1063.836786852349
한미사이언스,008930,2.824996763508062
제일기획,030000,23.48865420504693
한전기술,052690,29.60413419283098
GS리테일,007070,35.988238002851126
한화시스템,272210,1.5949599685080498
동서,026960,2.6386786898696086
에스원,012750,29.238648360235583
씨에스윈드,112610,17.1463497593381
대우건설,047040,3.1298835352755736
포스코인터내셔널,047050,11.042178416225376
포스코인터내셔널,047050,9.465015572949785
포스코인터내셔널,047050,12.27679881950943
대한전선,001440,6.710664179048768
현대로템,064350,5.214804347202051
만도,204320,43.2894736649096
BNK금융지주,138930,1.198753473866401
키움증권,039490,236.9323269845022
신세계,004170,87.55401445641273
LS,006260,3.2838695652173913
녹십자,006280,11.926582690442627
두산퓨얼셀,336260,27.052647816467942
한화,000880,9.707306986049407
휠라홀딩스,081660,4.839403309200169
휠라홀딩스,081660,5.586310764268125
영원무역,111770,22.82142772385695
효성,004800,5.754881034691003
후성,093370,3.146894148043245
농심,004370,17.741418505642777
롯데칠성,005300,430.95704485312297
대웅,003090,0.7813159269773751
솔루스첨단소재,336370,46.44692434573345
동원시스템즈,014820,4.971634524600231
오뚜기,007310,41.69393255466191
한샘,009240,19.782512620077704
DL,000210,4.870229557358141
코스모신소재,005070,6.1912111980072115
에스엘,005850,17.77066752743802
JB금융지주,175330,1.034824360299478
코오롱인더,120110,15.044049321306725
DGB금융지주,139130,1.417228349006978
LX인터내셔널,001120,7.290383391279669
LX인터내셔널,001120,7.395965009081527
한미반도체,042700,5.804685375102215
동국제강,001230,5.1916897964469735
한국앤컴퍼니,000240,7.417991302913439
아이에스동서,010780,117.32960851538391
대성홀딩스,016710,8.081880777967736
아시아나항공,020560,31.586375485655736
신풍제약,019170,1.4876142972935213
두산,000150,18.336645463820542
SK가스,018670,68.79058988668122
현대엘리베이,017800,5.734774103662125
신세계인터내셔날,031430,11.54794155070028
현대두산인프라코어,042670,2.234824144438925
현대두산인프라코어,042670,11.571023282357654
NHN,181710,10.715539196141364
SK네트웍스,001740,5.322908669336812
미원에스씨,268280,37.020744791416526
코리안리,003690,173.3537426028783
태광산업,003240,127.9191294700916
금호타이어,073240,1.348842219606917
영풍,000670,92.63169745173829
CJ CGV,079160,78.95878403563212
덴티움,145720,42.54142974719517
PI첨단소재,178920,12.628389036257248
PI첨단소재,178920,9.387894677447179
한일시멘트,300720,18.849370550524867
녹십자홀딩스,005250,15.484327405482492
동양생명,082640,41.827008794778415
이노션,214320,25.361033225
미원상사,002840,11.732933878032599
롯데관광개발,032350,34.400304904703276
한올바이오파마,009420,1.347634413270374
유니드,014830,6.944134837251906
지누스,013890,37.77707747310994
대한해운,005880,8.315651344740948
일동제약,249420,18.636135299087407
휴켐스,069260,6.858644876383695
휴켐스,069260,4.374851875020732
GKL,114090,4.878439561320732
진원생명과학,011000,0.3504317316778328
제주항공,089590,21.621431554768414
우리종금,010050,11.33626399851844
다우기술,023590,21.363876158079847
대신증권,003540,32.22741236056081
현대그린푸드,005440,6.423166421372563
한섬,020000,31.256725919610233
하나투어,039130,13.391369093673697
세방전지,004490,43.64452614857143
삼천리,004690,98.26847390238038
화승엔터프라이즈,241590,1.0011546736540404
진에어,272450,8.061364713984675
대상,001680,42.74431978396062
더블유게임즈,192080,15.880707347605938
한화투자증권,003530,8.278777685599957
보령제약,003850,10.677775807249963
보령제약,003850,12.550814846703066
파미셀,005690,0.9642042080456712
F&F홀딩스,007700,1.0892683534927206
한세실업,105630,30.7478069155
SK디스커버리,006120,5.525205218614551
동아쏘시오홀딩스,000640,10.51760441795312
