CO_NM,CODE,NOE
SK하이닉스,000660,18.88
NAVER,035420,4.46
현대차,005380,8.14
삼성SDI,006400,10.29
셀트리온,068270,14.88
삼성물산,028260,5.56
POSCO,005490,14.46
KB금융,105560,10.21
신한지주,055550,9.18
현대모비스,012330,6.69
SK이노베이션,096770,14.34
SK,034730,15.11
한국전력,015760,-25.39
LG전자,066570,10.13
카카오뱅크,323410,5.01
S-Oil,010950,33.48
하나금융지주,086790,10.36
SK텔레콤,017670,8.40
LG생활건강,051900,11.55
삼성전기,009150,15.28
삼성화재,000810,8.63
고려아연,010130,11.41
우리금융지주,316140,11.36
포스코케미칼,003670,5.75
LG이노텍,011070,28.87
엔씨소프트,036570,16.38
아모레퍼시픽,090430,1.79
한화솔루션,009830,4.15
기업은행,024110,9.08
현대글로비스,086280,17.73
한국조선해양,009540,-6.92
롯데케미칼,011170,3.61
넷마블,251270,-0.42
LG유플러스,032640,8.25
강원랜드,035250,1.26
한온시스템,018880,8.21
삼성중공업,010140,-16.90
한국항공우주,047810,6.57
LG디스플레이,034220,1.67
SKC,011790,14.53
코웨이,021240,26.29
현대건설,000720,7.87
DB손해보험,005830,16.25
현대제철,004020,10.89
금호석유,011780,33.15
오리온,271560,13.14
메리츠화재,000060,47.12
롯데지주,004990,4.87
GS,078930,21.32
한미약품,128940,9.88
한국가스공사,036460,15.59
현대미포조선,010620,-1.92
삼성카드,029780,7.85
쌍용C&E,003410,7.28
OCI,010060,25.20
BGF리테일,282330,21.61
팬오션,028670,21.62
현대오토에버,307950,5.71
아모레G,002790,1.27
NH투자증권,005940,9.36
삼성증권,016360,11.93
롯데쇼핑,023530,-1.16
호텔신라,008770,5.76
현대해상,001450,12.15
한미사이언스,008930,7.46
제일기획,030000,16.91
한전기술,052690,3.36
GS리테일,007070,25.64
한화시스템,272210,0.86
동서,026960,8.27
에스원,012750,8.69
씨에스윈드,112610,1.94
대우건설,047040,12.98
포스코인터내셔널,047050,15.00
대한전선,001440,6.60
현대로템,064350,6.13
만도,204320,5.46
BNK금융지주,138930,8.90
키움증권,039490,16.50
신세계,004170,10.92
LS,006260,9.08
녹십자,006280,10.42
두산퓨얼셀,336260,1.90
한화,000880,28.47
휠라홀딩스,081660,12.70
영원무역,111770,20.46
효성,004800,11.98
후성,093370,28.05
농심,004370,5.21
롯데칠성,005300,12.41
대웅,003090,15.37
솔루스첨단소재,336370,2.09
동원시스템즈,014820,7.65
오뚜기,007310,9.90
한샘,009240,5.29
DL,000210,4.20
코스모신소재,005070,11.20
에스엘,005850,6.77
JB금융지주,175330,13.31
코오롱인더,120110,7.80
DGB금융지주,139130,9.69
LX인터내셔널,001120,29.12
한미반도체,042700,34.35
동국제강,001230,29.80
한국앤컴퍼니,000240,6.05
아이에스동서,010780,17.95
대성홀딩스,016710,4.59
아시아나항공,020560,-58.18
신풍제약,019170,-6.58
두산,000150,-5.26
SK가스,018670,10.99
현대엘리베이,017800,16.18
신세계인터내셔날,031430,13.80
현대두산인프라코어,042670,28.32
NHN,181710,4.22
SK네트웍스,001740,2.22
미원에스씨,268280,25.93
코리안리,003690,4.16
태광산업,003240,4.52
금호타이어,073240,-6.63
영풍,000670,5.07
CJ CGV,079160,-188.83
덴티움,145720,28.22
PI첨단소재,178920,18.40
한일시멘트,300720,5.12
녹십자홀딩스,005250,3.35
동양생명,082640, 
이노션,214320,7.12
미원상사,002840,20.92
롯데관광개발,032350,-85.14
한올바이오파마,009420,0.61
유니드,014830,14.48
지누스,013890,8.70
대한해운,005880,22.30
일동제약,249420,-67.77
휴켐스,069260,11.16
GKL,114090,-19.24
진원생명과학,011000,-15.39
제주항공,089590,-236.74
우리종금,010050,13.63
다우기술,023590,14.61
대신증권,003540,11.29
현대그린푸드,005440,2.50
한섬,020000,10.19
하나투어,039130,-22.16
세방전지,004490,4.83
삼천리,004690,5.44
화승엔터프라이즈,241590,-0.85
진에어,272450,-143.73
대상,001680,10.89
더블유게임즈,192080,7.64
한화투자증권,003530,5.42
보령제약,003850,12.40
