CODE,CO_NM,PER,PBR,DVR
000660,SK하이닉스,6.02,0.98,1.62
035420,NAVER,25.86,1.06,0.32
005380,현대차,7.30,0.53,3.04
006400,삼성SDI,27.80,2.57,0.17
068270,셀트리온,41.28,5.83,0.45
028260,삼성물산,12.74,0.68,3.92
005490,POSCO,2.86,0.34,7.16
105560,KB금융,3.95,0.37,6.58
055550,신한지주,4.33,0.39,5.62
012330,현대모비스,7.80,0.48,2.05
096770,SK이노베이션,5.54,0.65,
034730,SK,4.48,0.49,4.01
015760,한국전력,,0.21,
066570,LG전자,7.66,0.70,1.09
323410,카카오뱅크,36.70,1.42,
010950,S-Oil,3.81,1.12,4.63
086790,하나금융지주,3.21,0.31,8.27
017670,SK텔레콤,8.37,0.93,5.48
051900,LG생활건강,16.72,1.79,2.13
009150,삼성전기,8.57,1.19,1.84
000810,삼성화재,8.24,0.72,6.38
010130,고려아연,13.38,1.37,3.31
316140,우리금융지주,2.82,0.31,7.93
003670,포스코케미칼,89.55,5.01,0.19
011070,LG이노텍,6.88,1.73,1.07
036570,엔씨소프트,13.91,2.13,1.82
090430,아모레퍼시픽,77.98,1.37,1.03
009830,한화솔루션,24.99,0.98,
024110,기업은행,3.28,0.28,7.82
086280,현대글로비스,5.89,0.96,2.34
009540,한국조선해양,,0.55,
011170,롯데케미칼,10.37,0.37,5.34
251270,넷마블,,0.64,1.22
032640,LG유플러스,7.00,0.56,5.37
035250,강원랜드,120.57,1.43,
018880,한온시스템,20.60,1.65,4.99
010140,삼성중공업,,1.02,
047810,한국항공우주,45.98,2.91,0.50
034220,LG디스플레이,22.96,0.37,4.82
011790,SKC,11.94,1.53,1.19
021240,코웨이,7.88,1.82,2.38
000720,현대건설,7.06,0.53,1.68
005830,DB손해보험,4.03,0.60,6.41
004020,현대제철,2.06,0.21,3.34
011780,금호석유,2.76,0.66,7.72
271560,오리온,13.18,1.56,0.77
000060,메리츠화재,4.09,2.88,2.26
004990,롯데지주,11.76,0.37,4.01
078930,GS,1.87,0.35,4.58
128940,한미약품,35.56,3.32,0.22
036460,한국가스공사,2.18,0.29,8.41
010620,현대미포조선,,1.88,
029780,삼성카드,5.97,0.42,7.63
003410,쌍용C&E,23.79,1.79,7.87
010060,OCI,2.94,0.65,2.17
282330,BGF리테일,17.14,3.43,1.80
028670,팬오션,2.98,0.55,2.27
307950,현대오토에버,40.72,2.26,0.61
002790,아모레G,53.25,0.64,1.89
005940,NH투자증권,4.56,0.43,11.86
016360,삼성증권,3.95,0.46,12.26
023530,롯데쇼핑,,0.25,3.20
008770,호텔신라,88.13,4.64,0.27
001450,현대해상,4.95,0.54,4.88
