CO_NM,CODE,SIZE
SK하이닉스,000660,13.940444715824029
NAVER,035420,13.135283731023666
현대차,005380,13.896451565331919
삼성SDI,006400,13.252404937810825
셀트리온,068270,12.725723928929751
삼성물산,028260,13.62423856192277
삼성물산,028260,12.916605428733282
POSCO,005490,13.754309863020696
POSCO,005490,13.727003064697387
KB금융,105560,13.4941303034715
신한지주,055550,13.590993388028018
현대모비스,012330,13.518393176062702
SK이노베이션,096770,13.271514383465183
SK,034730,13.44922283851702
SK,034730,11.684296744511748
한국전력,015760,14.075442261905756
LG전자,066570,13.476496956673797
카카오뱅크,323410,13.593342831803545
S-Oil,010950,13.31880613635695
하나금융지주,086790,13.39680223149958
SK텔레콤,017670,13.416487079441875
LG생활건강,051900,12.703045152018856
삼성전기,009150,12.83238230483637
삼성화재,000810,13.958409001693138
고려아연,010130,12.916777596807176
우리금융지주,316140,13.403469035656313
포스코케미칼,003670,12.578872985515968
포스코케미칼,003670,11.094715061647138
LG이노텍,011070,12.860587885407119
엔씨소프트,036570,12.640366474401711
아모레퍼시픽,090430,12.719036424882834
한화솔루션,009830,13.21089211684222
한화솔루션,009830,12.906398480859941
기업은행,024110,14.578891374752482
현대글로비스,086280,13.045023661210863
한국조선해양,009540,13.047795240311086
롯데케미칼,011170,13.260124025500822
넷마블,251270,12.935581278690167
넷마블,251270,12.241065089773185
LG유플러스,032640,13.257335634793064
강원랜드,035250,12.578911956193048
한온시스템,018880,12.66675358946537
삼성중공업,010140,13.081444685300676
한국항공우주,047810,12.776326910157964
LG디스플레이,034220,13.467590733456912
SKC,011790,12.53667629130276
코웨이,021240,12.35730074580268
코웨이,021240,12.536964414018636
현대건설,000720,13.12525635028234
DB손해보험,005830,13.706661904771494
DB손해보험,005830,13.510230706865379
현대제철,004020,13.541248872790339
금호석유,011780,12.685636964248154
오리온,271560,12.098727593544789
메리츠화재,000060,13.438268862939582
롯데지주,004990,12.934110909989895
GS,078930,12.82561096193599
한미약품,128940,12.170788300562315
한국가스공사,036460,13.673564180432935
현대미포조선,010620,12.61764673507495
삼성카드,029780,13.43879800053126
쌍용C&E,003410,12.49436094521916
쌍용C&E,003410,12.47141393325962
OCI,010060,12.55397329543887
BGF리테일,282330,12.41735203193637
팬오션,028670,12.836144283096178
현대오토에버,307950,12.31500375828189
아모레G,002790,12.329463766811305
NH투자증권,005940,13.768127471864808
삼성증권,016360,13.784475662559535
롯데쇼핑,023530,13.41018648287421
호텔신라,008770,12.35917690595344
현대해상,001450,13.716032554998906
한미사이언스,008930,11.781069065345003
제일기획,030000,12.077630257781383
한전기술,052690,11.865256122734992
GS리테일,007070,12.892148409202399
한화시스템,272210,12.576470690829087
동서,026960,12.184965948932495
에스원,012750,12.282513769187215
씨에스윈드,112610,12.089013642247515
대우건설,047040,12.972214374173031
포스코인터내셔널,047050,12.936067590221406
포스코인터내셔널,047050,12.934010190318517
포스코인터내셔널,047050,13.029689759241302
대한전선,001440,12.235023946684857
현대로템,064350,12.613074201281888
만도,204320,12.495610565492187
BNK금융지주,138930,12.858531678541949
키움증권,039490,13.582845621593009
신세계,004170,12.910439492173381
LS,006260,12.618140701444707
녹십자,006280,12.279700728452319
두산퓨얼셀,336260,11.867293995286937
한화,000880,12.919589182186437
휠라홀딩스,081660,11.85787499781161
휠라홀딩스,081660,11.923962619835375
영원무역,111770,12.265197869544744
효성,004800,12.502893506908803
후성,093370,11.65075100344356
농심,004370,12.411201815459453
