CO_NM,CODE,green_corp
SK하이닉스,000660,0
NAVER,035420,0
현대차,005380,0
삼성SDI,006400,0
셀트리온,068270,0
삼성물산,028260,1
POSCO,005490,0
KB금융,105560,0
신한지주,055550,0
현대모비스,012330,0
SK이노베이션,096770,0
SK,034730,0
한국전력,015760,0
LG전자,066570,0
카카오뱅크,323410,0
S-Oil,010950,0
하나금융지주,086790,0
SK텔레콤,017670,0
LG생활건강,051900,0
삼성전기,009150,0
삼성화재,000810,0
고려아연,010130,0
우리금융지주,316140,0
포스코케미칼,003670,0
LG이노텍,011070,0
엔씨소프트,036570,0
아모레퍼시픽,090430,1
한화솔루션,009830,0
기업은행,024110,0
현대글로비스,086280,0
한국조선해양,009540,0
롯데케미칼,011170,0
넷마블,251270,0
LG유플러스,032640,0
강원랜드,035250,0
한온시스템,018880,0
삼성중공업,010140,0
한국항공우주,047810,0
LG디스플레이,034220,0
SKC,011790,0
코웨이,021240,0
현대건설,000720,1
DB손해보험,005830,0
현대제철,004020,1
금호석유,011780,0
오리온,271560,0
메리츠화재,000060,0
롯데지주,004990,0
GS,078930,0
한미약품,128940,0
한국가스공사,036460,0
현대미포조선,010620,0
삼성카드,029780,0
쌍용C&E,003410,0
OCI,010060,0
BGF리테일,282330,0
팬오션,028670,0
현대오토에버,307950,0
아모레G,002790,0
NH투자증권,005940,0
삼성증권,016360,0
롯데쇼핑,023530,0
호텔신라,008770,0
현대해상,001450,0
한미사이언스,008930,0
제일기획,030000,0
한전기술,052690,0
GS리테일,007070,0
한화시스템,272210,0
동서,026960,1
에스원,012750,0
씨에스윈드,112610,0
대우건설,047040,1
포스코인터내셔널,047050,0
대한전선,001440,1
현대로템,064350,0
만도,204320,0
BNK금융지주,138930,0
키움증권,039490,0
신세계,004170,0
LS,006260,0
녹십자,006280,0
두산퓨얼셀,336260,0
한화,000880,0
휠라홀딩스,081660,0
영원무역,111770,0
효성,004800,0
후성,093370,0
농심,004370,0
롯데칠성,005300,0
대웅,003090,1
솔루스첨단소재,336370,0
동원시스템즈,014820,1
오뚜기,007310,0
한샘,009240,0
DL,000210,0
코스모신소재,005070,0
에스엘,005850,0
JB금융지주,175330,0
코오롱인더,120110,0
DGB금융지주,139130,0
LX인터내셔널,001120,0
한미반도체,042700,0
동국제강,001230,0
한국앤컴퍼니,000240,0
아이에스동서,010780,0
대성홀딩스,016710,0
아시아나항공,020560,0
신풍제약,019170,0
두산,000150,1
SK가스,018670,0
현대엘리베이,017800,0
신세계인터내셔날,031430,0
현대두산인프라코어,042670,0
NHN,181710,0
SK네트웍스,001740,0
미원에스씨,268280,0
코리안리,003690,0
태광산업,003240,0
금호타이어,073240,0
영풍,000670,0
CJ CGV,079160,0
덴티움,145720,0
PI첨단소재,178920,0
한일시멘트,300720,0
녹십자홀딩스,005250,0
동양생명,082640,0
이노션,214320,0
미원상사,002840,0
롯데관광개발,032350,0
한올바이오파마,009420,0
유니드,014830,0
지누스,013890,0
대한해운,005880,0
일동제약,249420,0
휴켐스,069260,0
GKL,114090,0
