CODE,CO_NM,major_hldr,minor_hldr
000660,SK하이닉스,0.2007,0.06
035420,NAVER,0.0894,0.06
005380,현대차,0.2938,0.05
006400,삼성SDI,0.2059,0.05
068270,셀트리온,0.22640000000000002,0.06
028260,삼성물산,0.3345,0.04
005490,POSCO,0.0925,0.06
105560,KB금융,0.09050000000000001,0.07
055550,신한지주,0.08779999999999999,0.06
012330,현대모비스,0.31379999999999997,0.05
096770,SK이노베이션,0.33409999999999995,0.04
034730,SK,0.2669,0.04
015760,한국전력,0.511,0.04
066570,LG전자,0.3367,0.05
323410,카카오뱅크,0.2726,0.02
010950,S-Oil,0.7217999999999999,
086790,하나금융지주,0.0919,0.08
017670,SK텔레콤,0.3002,0.05
051900,LG생활건강,0.34509999999999996,0.05
009150,삼성전기,0.24109999999999998,0.06
000810,삼성화재,0.19440000000000002,0.04
010130,고려아연,0.4853,0.03
316140,우리금융지주,0.09820000000000001,0.04
003670,포스코케미칼,0.625,
011070,LG이노텍,0.4079,0.05
036570,엔씨소프트,0.12,
090430,아모레퍼시픽,0.5977,0.04
009830,한화솔루션,0.3626,0.05
024110,기업은행,1.663,0.03
086280,현대글로비스,0.5034000000000001,0.03
009540,한국조선해양,0.3396,0.04
011170,롯데케미칼,0.5492,0.04
251270,넷마블,0.242,0.02
032640,LG유플러스,0.37670000000000003,0.05
035250,강원랜드,0.3627,0.04
018880,한온시스템,0.505,
010140,삼성중공업,0.2086,0.06
047810,한국항공우주,0.2641,0.06
034220,LG디스플레이,0.3791,0.05
011790,SKC,0.409,0.05
021240,코웨이,0.2511,0.05
000720,현대건설,0.3492,
005830,DB손해보험,0.2321,0.04
004020,현대제철,0.35969999999999996,0.05
011780,금호석유,0.2528,0.05
271560,오리온,0.8762000000000001,0.03
000060,메리츠화재,1.1262,0.03
004990,롯데지주,0.7630000000000001,0.02
078930,GS,0.5246,0.04
128940,한미약품,0.414,0.04
036460,한국가스공사,0.5554,0.03
010620,현대미포조선,0.43,0.04
029780,삼성카드,0.7186,0.01
003410,쌍용C&E,0.7797,0.01
010060,OCI,0.4448,0.06
282330,BGF리테일,0.5501,0.02
028670,팬오션,0.5475,0.04
307950,현대오토에버,0.753,0.02
002790,아모레G,0.8755,0.02
005940,NH투자증권,0.5179,0.04
016360,삼성증권,0.2978,0.06
023530,롯데쇼핑,0.6118,0.03
008770,호텔신라,0.17,0.06
001450,현대해상,0.22649999999999998,0.06
008930,한미사이언스,0.6498,0.01
030000,제일기획,0.28550000000000003,0.03
052690,한전기술,0.6577,0.02
007070,GS리테일,0.579,0.03
