CO_NM,CODE,type
SK하이닉스,000660,4
NAVER,035420,3
현대차,005380,5
삼성SDI,006400,4
셀트리온,068270,2
삼성물산,028260,5
POSCO,005490,7
KB금융,105560,1
신한지주,055550,1
현대모비스,012330,5
SK이노베이션,096770,0
SK,034730,1
한국전력,015760,0
LG전자,066570,4
카카오뱅크,323410,1
S-Oil,010950,0
하나금융지주,086790,1
SK텔레콤,017670,3
LG생활건강,051900,0
삼성전기,009150,4
삼성화재,000810,1
고려아연,010130,7
우리금융지주,316140,1
포스코케미칼,003670,7
LG이노텍,011070,4
엔씨소프트,036570,3
아모레퍼시픽,090430,0
한화솔루션,009830,0
기업은행,024110,1
현대글로비스,086280,5
한국조선해양,009540,5
롯데케미칼,011170,0
넷마블,251270,3
LG유플러스,032640,3
강원랜드,035250,3
한온시스템,018880,4
삼성중공업,010140,5
한국항공우주,047810,5
LG디스플레이,034220,4
SKC,011790,0
코웨이,021240,3
현대건설,000720,8
DB손해보험,005830,1
현대제철,004020,7
금호석유,011780,0
오리온,271560,6
메리츠화재,000060,1
롯데지주,004990,1
GS,078930,1
한미약품,128940,2
한국가스공사,036460,0
현대미포조선,010620,5
삼성카드,029780,1
쌍용C&E,003410,7
OCI,010060,0
BGF리테일,282330,5
팬오션,028670,5
현대오토에버,307950,3
아모레G,002790,0
NH투자증권,005940,1
삼성증권,016360,1
롯데쇼핑,023530,5
호텔신라,008770,5
현대해상,001450,1
한미사이언스,008930,1
제일기획,030000,3
한전기술,052690,3
GS리테일,007070,5
한화시스템,272210,4
동서,026960,5
에스원,012750,3
씨에스윈드,112610,4
대우건설,047040,8
포스코인터내셔널,047050,5
대한전선,001440,4
현대로템,064350,5
만도,204320,5
BNK금융지주,138930,1
키움증권,039490,1
신세계,004170,5
LS,006260,1
녹십자,006280,2
두산퓨얼셀,336260,4
한화,000880,0
휠라홀딩스,081660,5
영원무역,111770,5
효성,004800,1
후성,093370,0
농심,004370,6
롯데칠성,005300,6
대웅,003090,2
솔루스첨단소재,336370,4
동원시스템즈,014820,0
오뚜기,007310,6
한샘,009240,5
DL,000210,1
코스모신소재,005070,0
에스엘,005850,5
JB금융지주,175330,1
코오롱인더,120110,0
DGB금융지주,139130,1
LX인터내셔널,001120,5
한미반도체,042700,4
동국제강,001230,7
한국앤컴퍼니,000240,1
아이에스동서,010780,7
대성홀딩스,016710,3
아시아나항공,020560,5
신풍제약,019170,2
두산,000150,1
SK가스,018670,5
현대엘리베이,017800,4
신세계인터내셔날,031430,5
현대두산인프라코어,042670,4
NHN,181710,3
SK네트웍스,001740,5
미원에스씨,268280,0
코리안리,003690,1
태광산업,003240,0
금호타이어,073240,0
영풍,000670,7
CJ CGV,079160,3
덴티움,145720,2
PI첨단소재,178920,0
한일시멘트,300720,7
녹십자홀딩스,005250,3
동양생명,082640,1
이노션,214320,3
미원상사,002840,0
롯데관광개발,032350,3
한올바이오파마,009420,2
유니드,014830,0
지누스,013890,6
대한해운,005880,5
일동제약,249420,2
휴켐스,069260,0
GKL,114090,3
진원생명과학,011000,2
제주항공,089590,5
우리종금,010050,1
다우기술,023590,3
대신증권,003540,1
현대그린푸드,005440,5
한섬,020000,6
하나투어,039130,3
세방전지,004490,4
삼천리,004690,0
화승엔터프라이즈,241590,6
진에어,272450,5
대상,001680,6
더블유게임즈,192080,3
한화투자증권,003530,1
보령제약,003850,2
파미셀,005690,2
F&F홀딩스,007700,1
한세실업,105630,6
SK디스커버리,006120,1
동아쏘시오홀딩스,000640,1
드림텍,192650,4
코스맥스,192820,0
영원무역홀딩스,009970,1
SNT모티브,064960,5
삼양홀딩스,000070,1
현대홈쇼핑,057050,5
부광약품,003000,2
세아제강지주,003030,1
SK디앤디,210980,3
NICE,034310,3
엠씨넥스,097520,4
디티알오토모티브,007340,4
세아베스틸,001430,7
미래에셋생명,085620,1
유안타증권,003470,1
SGC에너지,005090,0
JW중외제약,001060,2
흥아해운,003280,5
동아에스티,170900,2
고려제강,002240,7
송원산업,004430,0
풀무원,017810,6
빙그레,005180,6
코리아써키트,007810,4
HSD엔진,082740,4
LF,093050,6
국도화학,007690,0
한국자산신탁,123890,1
삼부토건,001470,8
신성이엔지,011930,4
한국토지신탁,034830,1
세아제강,306200,7
이수페타시스,007660,4
일양약품,007570,2
코스모화학,005420,0
이수화학,005950,0
넥스트사이언스,003580,7
LG헬로비전,037560,3
삼양사,145990,6
한진,002320,5
DI동일,001530,5
교보증권,030610,1
롯데정보통신,286940,3
애경케미칼,161000,0
현대에너지솔루션,322000,4
코오롱글로벌,003070,8
동일산업,004890,7
롯데하이마트,071840,5
HDC,012630,1
TYM,002900,4
락앤락,115390,0
코오롱플라스틱,138490,0
스카이라이프,053210,3
한일현대시멘트,006390,7
대한제강,084010,7
SK렌터카,068400,3
세아홀딩스,058650,7
LX하우시스,108670,0
서흥,008490,0
애경산업,018250,0
케이씨텍,281820,2
롯데푸드,002270,6
KEC,092220,4
퍼시스,016800,6
잇츠한불,226320,0
한전산업,130660,3
지역난방공사,071320,0
유나이티드제약,033270,2
에이프로젠 MED,007460,4
신대양제지,016590,7
SK증권,001510,1
아이마켓코리아,122900,5
삼진제약,005500,2
일진홀딩스,015860,1
대원제약,003220,2
한일홀딩스,003300,7
경방,000050,5
STX엔진,077970,4
광동제약,009290,2
한국콜마홀딩스,024720,1
하나제약,293480,2
한국쉘석유,002960,0
조선내화,000480,7
미원홀딩스,107590,1
도화엔지니어링,002150,3
현대차증권,001500,1
테이팩스,055490,0
한신기계,011700,4
디피씨,026890,1
환인제약,016580,2
한솔제지,213500,7
대한제당,001790,6
제일약품,271980,2
NPC,004250,0
금호건설,002990,8
코오롱,002020,1
종근당홀딩스,001630,2
한국철강,104700,7
대상홀딩스,084690,1
에어부산,298690,5
GS글로벌,001250,5
TCC스틸,002710,7
금호에이치티,214330,5
대동,000490,4
일진다이아,081000,0
알루코,001780,7
광주신세계,037710,5
모토닉,009680,5
동양,001520,7
동화약품,000020,2
SBS미디어홀딩스,101060,3
웅진씽크빅,095720,3
풍산홀딩스,005810,1
태영건설,009410,8
유진투자증권,001200,1
키다리스튜디오,020120,3
화승인더,006060,0
일진전기,103590,4
삼익THK,004380,4
디씨엠,024090,7
SNT홀딩스,036530,1
케이씨,029460,2
동부건설,005960,8
우진,105840,2
KPX홀딩스,092230,0
이월드,084680,6
무림P&P,009580,7
삼영무역,002810,5
금양,001570,0
유니퀘스트,077500,5
동아지질,028100,8
인스코비,006490,3
삼성출판사,068290,3
한독,002390,2
신세계 I&C,035510,3
